corso,tipo,comuni,gestione,inizio,sviluppo,termine,fishing_tour
NUOVA,FONTANA,SOZZAGO,LIBERA,nasce dal cavetto Ospedale (concessione privata),BREVE TRATTO,confluisce nella fontana TOMBONE,
OCA,FONTANA,LANDIONA,LIBERA,nasce a nord della cascina CALIFORNIA,prosegue per circa un chilometro,confluisce nel cavo CAVACCIO,
OLIANO,ROGGIA,CASTELLETTO T. - BORGOTICINO,LIBERA,IMPRE' in comune di BORGOTICINO,località BEATI in comune di CASTELLETTO TICINO,RIO SCOLATOI in comune di CASTELLETTO TICINO,
ONDELLA,TORRENTE,ARMENO affluenti del torrente ONDELLA nel comune di ARMENO: rivo Marculega/di Lega - rivo Ondellaccio - rivo di Gattogno - rivo Gragnasca/Gagnasca - rivo di Barchel -,LIBERA,ALPE VALPIANA,Alpe Gattogno fondo Roleia,torrente AGOGNA in comune di Armeno,
ORCIUOLO,RIO,FONTANETO D'A. - CRESSA - Baraggia di SUNO - VAPRIO D'Agogna - MOMO - CALTIGNAGA - CAMERI,LIBERA,FONTANETO D'AG.,attraverso i comuni seguendo un percorso più o meno parallelo alla Strada Regionale 229,Torrente TERDOPPIO (Cascina Argine in comune di Cameri),
ORIALE,FOSSO,"BARENGO, BRIONA",LIBERA,ZONA UNO,parallela a breve distanza dalla roggia GUIDETTA percorso uguale,BRIONA frazione PROH entra nella roggia MORA poco a valle del cimitero,
ORIALE,CAVO,VINZAGLIO,LIBERA,VINZAGLIO a SUD della cascina SAPORITO,VINZAGLIO,si immette nella fontana GALLARATI SCOTTI dietro al castello di VINZAGLIO,
ORIALE,FOSSO,CAVAGLIETTO - BARENGO - BRIONA,LIBERA,CAVAGLIETTO,BARENGO - PROH,Roggia MORA nella frazione PROH all'altezza del cimitero,
ORIOLO,FONTANA,VICOLUNGO,LIBERA,nasce in località BARAGGIOLA,sottopassa la strada provinciale Recetto- Landiona e l'autostrada TO-MI,confluisce nella ROGGIA BIRAGA (concessione A.P.D.) prima del Canale Cavour,
ORLANDINA,FONTANA,CALTIGNAGA - CAMERI,A.P.D.,testa di fontana,tutto il corso,nel Terdoppio,
OROFREDDO,COLATORE,S. NAZZARO S.,EST SESIA - GESTIONE FIPSAS,S. NAZZARO S.,dall'origine in continuazione del cavo Montebello alla confluenza con la roggia Villata,S. NAZZARO S.,
OROFREDDO,FONTANA,NOVARA - GRANOZZO,LIBERA,A SUD frazione PAGLIATE in comune di NOVARA,dopo aver oltrepassato la cascina BERTAZZOLA entra nel comune di GRANOZZO aggirando ad OVEST la frazione Monticello sino ad confine della provincia di PAVIA,confine PAVIA con comune di CONFIENZA,
ORTA,LAGO,TUTTI QUELLI CHE SI AFFACCIANO SUL LAGO,LIBERA,-----------------------,-------------------------,--------------------,
OSPEDALE,CAVO,SOZZAGO,ASSOCIAZ. PESCATORI SOZZAGO,a valle canale TERDOPPIO,2000 METRI,SOZZAGO,
OSPEDALE e LEONARDI,CAVI,CASALINO,LIBERA,CASALINO nasce dalla roggia BUSCA assumendo il nome di cavo OSPEDALE località cascina SERENA,CASALINO dopo breve tratto riceve le acque della frazione PREALBA modificando il nome in cavo LEONARDI,CASALINO si immette nella roggia MOLINARA nei pressi dell'ex cascina SVERGELLATA,
OSPEDALE o DI FARA,CAVO,FARA - BRIONA - CASTELLAZZO - CASALEGGIO,LIBERA,FARA a SUD del paese dalla roggia MORA,dopo breve tratto entra nel comune di BRIONA scorrendo parallelo alla roggia MORA quindi entra nel comune di CASTELLAZZO. Dopo breve percorso entra nel comune di CASALEGGIO prendendo le acque dal cavo PIATTI confluendo nella fontana DEL CASTELLO,CASALEGGIO confluisce con la fontana DEL CASTELLO,
PADULLI,FONTANA,TRECATE,ASSOCIAZ. PESCATORI TRECATESI,sotto ferrovia MILANO-TORINO,2000 METRI,TRECATE,
PADULLI E VECCHIA RIUNITE (MAGAZZENO),FONTANA o CAVO,TRECATE - SOZZAGO,ASSOCIAZ. PESCATORI SOZZAGO,Radio Favo Aeronautica,6000 metri,SOZZAGO,
PANIZZINA,CAVO,SAN PIETRO MOSEZZO - GRANOZZO- MONTICELLO - NOVARA - VESPOLATE,EST SESIA - GESTIONE FIPSAS,SAN PIETRO MOSEZZO dal canale CAVOUR ai laghetti OBBIADINO,dopo aver sottopassato la S.P. 11 Novara-San Pietro M. zona industriale adiacente al BAR KLIPPER entra nel comune di Novara fraz. Casalgiate e dopo aver oltrepassato la strada statale 11 NO/VC costeggia la frazione Lumellogno località cimitero e la fraz.P,VESPPOLATE confine con provincia di PAVIA in comune di CONFIENZA,FISHING TOUR
PANOSA,LANCA,GALLIATE,ASSOC. PESCAT. DILETTANTI GALLIATESI,GALLIATE,alimentata da acqua sorgiva e dalle piene stagionali del Fiume Ticino,"specchio d'acqua ""chiuso"" occasionalmente comunicante col Fiume Ticino durante le piene stagionali",FISHING TOUR
PASSONE,FONTANA,CASALVOLONE,LIBERA,CASALVOLONE località Case PAVESI zona acquedotto,"dopo breve tratto, riceve le acque della frazione CAVALLETTO che si divide in due rami",PRIMO ramo entra nel cavo SAINO SECONDO ramo entra negli scarichi urbani del paese,
PASSONE o AGOGNA VECCHIA,RIO,BRIGA NOV. - INVORIO - BORGOMANERO,LIBERA,INVORIO,sul confine tra INVORIO e BRIGA NOV. BRIGA NOV. - CASCINA FALCINA BORGOMANERO,Torrente AGOGNA in comune di BORGOMANERO,
PELLINO,TORRENTE,PELLA,F.I.P.S.A.S. Dal ponte di CESARA alla centrale LIBERO da sopra la centrale,COLMA in provincia del V.C.O.,AROLA (V.C.O.) PELLA,LAGO D'ORTA in comune di PELLA,
PELLINO - PLESINA,TORRENTI - Diritto Demaniale Provincia,S. MAURIZIO D'OPAGLIO,F.I.P.S.A.S.,S. MAURIZIO O.,,S. MAURIZIO O.,
PELTRENGA,ROGGIA,SAN PIETRO MOSEZZO fr. NIBBIA - CASTELLAZZO - BRIONA - CASALEGGIO - NOVARA - CASALINO - GRANOZZO,LIBERA,CASTELLAZZO dalla ROGGIA CONTURINA,"BRIONA vicinanze cascina MAURIZIA, proseguendo in comune di Casaleggio, nei pressi della cascina Dei Prati entra nel comune di S.Pietro fraz. Mosezzo e scorrendo ad OVEST prosegue nel comune di NOVARA frazione GIONZANA e dopo aver sottopassato la S.S. Nov",GRANOZZO confine con la provincia di PAVIA nel comune di CONFIENZA,
PENNINO,FONTANA,SILLAVENGO - LANDIONA,LIBERA,nasce in località cascina PENNINO in comune di SILLAVENGO,dopo circa 200 metri entra in comune di LANDIONA,al NORD di LANDIONA si immette nella fontana MORINA,
PERGALLO o SIZZONE di VERGANO,TORRENTE,BORGOMANERO - GARGALLO - SORISO,LIBERA,località GELATA (Soriso) dall'affluenza di: rio di PIANZOLA - rio di PULE - rio di BARZAIGA - rio di CARNELLA,SORISO GARGALLO BORGOMANERO,Torrente SIZZONE in comune di BORGOMANERO,
PESCONE,TORRENTE,ARMENO - PETTENASCO,LIBERA,ALPE VALLACCIA in provincia del V.C.O.,"ALPE VERMINASCA (V.C.O.), ARMENO, PETTENASCO",LAGO D'ORTA in comune di PETTENASCO,
PIATTI,CAVO,S.PIETRO MOSEZZO - CASALINO - GRANOZZO,EST SESIA - GESTIONE FIPSAS,S.PIETRO MOSEZZO,dal Canale Cavour in Comune di S. Pietro M. fino al sottopasso della Roggia Biraga in Comune di Granozzo,GRANOZZO,
PIETTA,CAVO,VESPOLATE - BORGOLAVEZZARO,LIBERA,proviene dalla provincia di PAVIA in comune di CONFIENZA soprapassando il torrente AGOGNA nel comune di VESPOLATE in località cascina BERTOTTINA,entra nel comune di BORGOLAVEZZARO dove prende il nome di CAVO OSPEDALE,confine in provincia di PAVIA in comune di NICORVO,
PIETTA,FONTANA,NOVARA - GRANOZZO MONTICELLO,A.P.D.,testa di fontana,tutto il corso,confine provinciale,FISHING TOUR
PILONA,CAVO,CERANO,LIBERA,nasce dalla roggia CERANA doco dopo l'abitato in direzione CASSOLNUOVO,si sviluppa per circa 300 metri,s'immette nel collettore PRATI NUOVI,
PLEZZA,CAVO,TORNACO - BORGOLAVEZZARO,F.I.P.S.A.S.,TORNACO,dall'origine (Tornaco) fino al partitore della Chiappona (Mortara per la parte ricadente in Provincia di Novara,MORTARA,FISHING TOUR
PORTA,FONTANA,NOVARA,A.P.D.,testa di fontana a monte del fabbricato del podere Cassinazza,tutto il corso,a perdersi,
PRATI NUOVI,COLLETTORE,CERANO,EST SESIA - GESTIONE FIPSAS,è il proseguimento della roggia CERANA dal punto di uscita dei due rami sopracitati di cui ne raccoglie le acque,attraversa le campagne a EST dell S.S. per VIGEVANO,confine con provincia di PAVIA in comune di CASSOLNUOVO,FISHING TOUR
PRATO GRIGIO,FONTANA,CAMERI,F.I.P.S.A.S,CAMERI,dalla sorgente in Bertinelle Vecchia al termine nel Cavo Argine di Cameri,CAMERI,FISHING TOUR
PRERRO,ROGGIA,POGNO,LIBERA,Alpe Col BERNARDO,Località MOLINO,Torrente GRUA in comune di POGNO,
PRINCIPI dei,CAVO,NON ATTIVO,A.P.D.,testa di fontana,tutto il corso,,FISHING TOUR
QUARTI,CAVO,TERDOBBIATE - TORNACO,LIBERA,nasce a SUD dell'abitato di TERDOBBIATE,entra nel comune di TORNACO in località cascina TAMBUSSA,s'immette nel cavo PLEZZA (concessione FIPSAS) in località CIMITERO,
QUINTINO SELLA,DIRAMATORE,NOVARA - GARBAGNA - TERDOBBIATE - TORNACO,EST SESIA - GESTIONE APD,imbocco dal Canale Cavour a Veveri (Novara),tutto il corso,confine provinciale,FISHING TOUR
REGINA ELENA,CANALE,VARALLO POMBIA - POMBIA - MARANO T. - OLEGGIO - BELLINZAGO - CAMERI - NOVARA,EST SESIA - GESTIONE APD,Imbocco fiume Ticino Varallo Pombia,tutto il corso,Versatore nel Canale Cavour a Veveri Comune Novara,
REM,TORRENTE,MAGGIORA - CUREGGIO - FONTANETO - CAVAGLIO - FARA - BRIONA,LIBERA,MAGGIORA,Scorre tra le colline e dopo essere entrato nel comune di BRIONA confluisce nel torrente STRONA,BRIONA si immette nel torrente STRONA,
RESE O SCOLATOIO,FOSSO (diritto esclusivo demanio provinciale),BORGOTICINO - PARUZZARO - COMIGNAGO - OLEGGIO C. - CASTELLETTO TICINO,A.P.D.,OLEGGIO CASTELLO da sorgive,COMIGNAGO - BORGOTICINO - CASTELLETTO TICINO,LAGO MAGGIORE in Comune di CASTELLETTO TICINO,FISHING TOUR
RETTA,ROGGIA,CERANO,LIBERA,è il secondo ramo della roggia CERANA,parallela a quella sopra descritta,s'immette nel collettore PRATI NUOVI,
RIAL,RIO,MIASINO,LIBERA,località S. LUCIA,CARCEGNA,LAGO D'ORTA MIAS,
RICCA,CAVO,NOVARA,EST SESIA - GESTIONE FIPSAS,NOVARA canale CAVOUR in frazione VIGNALE,"dopo aver oltrepassato l'autostrada A4 entra in città nel quartiere S.ANDREA (Via Locchi, Via Oxilia, Via Porta, Viale Dante) scorre tombato e ne esce in quartiere Vill. DALMAZIA perdendosi nelle campagne del TORRION QUARTARA",NOVARA frazione TORRION QUARTARA,
RIGOLINA,ROGGIA,VINZAGLIO,LIBERA,nasce dalla frazione del PORTONE a NORD della cascina del CONTE sita a NORD del paese,attraversa la frazione PERNASCA,confluisce nel cavo CROCETTO (concessione FIPSAS) in località cascina SCAVARDA,
RILE,CAVO,NIBBIOLA - GARBAGNA - VESPOLATE,LIBERA,GARBAGNA - VALLE ARBOGNA,dopo breve percorso entra nel comune di NIBBIOLA e dopo aver attraversato la strada provinciale NIBBIOLA- MONTICELLO entra nel comune di VESPOLATE dove si divide in due rami: I° scarica nell'AGOGNA 2° origina il cavo DESSI,VESPOLATE,
RISTOLFA,FONTANA,SAN PIETRO MOSEZZO,LIBERA,nasce nelle vicinanze della cascina BRIGNOLO in frazione NIBBIA,sottopossa l'A4 TO-MI ed il canale CAVOUR,confluisce nel cavo PIATTI nelle vicinanze della cascina CA' BIANCA,
RITO,RIO,DIVIGNANO - MARANO TICINO - OLEGGIO - MOMO,LIBERA,DIVIGNANO,cascina ROCCHETTA a MEZZOMERICO OLEGGIO cascina ZANI in località FORNACI,Torrente TERDOPPIO vicino alla cascina LINDUNO in comune di MOMO,
ROCCIA,TORRENTE,PRATO SESIA,LIBERA,Motto Cercè,PRATO SESIA,Fiume SESIA in comune di PRATO SESIA,
ROCCIA,ROGGIA (TORRENTE),PRATO SESIA,LIBERA,COLMETTO in comune di PRATO SESIA,Cascina PIANA in frazione GABBIO,ROGGIA MORA in comune di PRATO SESIA,
ROGGIOLA,FONTANA,GARBAGNA - NIBBIOLA,LIBERA,nasce in prossimità della stazione ferroviaria di GARBAGNA in località tenuta PASCOLI,entra per un breve tratto nel comune di NIBBIOLA,si disperde nelle campagne,
ROGGIOLA,FONTANA,TRECATE - SOZZAGO,LIBERA,nasce in località COLONGA nel comune di TRECATE,sottopassa il torrente TERDOPPIO entra nel comune di SOZZAGO,s'immette nel raccoglitore REFREDDO (concessione privata) in località cascina MIETTA,
RONDINO,FONTANA,CASALVOLONE,EST SESIA - GESTIONE APD,CASALVOLONE,dal capofonte allo sbocco nel fontanile,CASALVOLONE,
ROSALA,FONTANA,SOZZAGO - CERANO,LIBERA,nasce dalle vicinanze della cascina ROSALA in comune di SOZZAGO,dopo aver oltrepassato la Strada provinciale Sozzago-Cerano entra in comune di CERANO in località cascina ISOLA.,confine con provincia di PAVIA in comune di CASSOLNUOVO,
S. MARTINO e sue derivazioni,FONTANA,CAMERI,F.I.P.S.A.S,CAMERI,dalla zona proto grande allo sbocco nella Fontana Valazza,CAMERI,
S. SEBASTIANO,FONTANA,S.NAZZARO SESIA,LIBERA,nasce in località CAMPACCIO,attraversa il paese,si immette nella roggia VECCHIA,
SAINI,CAVO,CASALVOLONE,LIBERA,,,,
SAINO,CAVO,CASALVOLONE,LIBERA,CASALVOLONE a monte strada di collegamento con la frazione di PISNENGO,dopo aver oltrepassato la citata strada nei pressi della cascina TOPPIE entra nella provincia di VERCELLI (BORGOVERCELLI),CASALVOLONE confine con la provincia di VERCELLI in comune di BORGOVERCELLI,
SAN GERMANO,FONTANA,SILLAVENGO - MANDELLO VITTA,LIBERA,nasce a ovest del cimitero di SILLAVENGO,sottopassa la roggia BUSCA in località cascina SCIAREA sopra ed entra in comune di MANDELLO VITTA,si immette nella ROGGIA BIRAGA dopo la cascina DELLE OCHE in comune di MANDELLO,
SAN GIUSEPPE,FONTANA,SAN PIETRO MOSEZZO - NOVARA,LIBERA,nasce in località cascina POSTA in comune di SAN PIETRO MOSEZZO,"sottopassa la strada provinciale NOVARA- S.PIETRO, quindi entra nel comune di NOVARA",si perde tra le campagne in frazione di CASALGIATE nel comune di NOVARA,
SAN GIUSEPPE,FONTANA,RECETTO,LIBERA,Regione SAN GIUSEPPE,sottopassa il canale CAVOUR in prossimità della strada provinciale BIANDRATE - RECETTO dividendosi in due rami,PRIMO RAMO si immette nella roggia BOLGORA SECONDO RAMO si immette negli scarichi del paese,
SAN PIETRO,CAVO,ROMENTINO - TRECATE,EST SESIA - GESTIONE APD,diramatore vigevano al salto S. Pietro in Comune di Romentino,tutto il corso,bocche termali al salto S. Martino in Comune di Trecate,
SAN ROCCO,ROGGIA,CERANO,EST SESIA - GESTIONE FIPSAS,CERANO,dalla Roggia Cerana in tutto il suo sviluppo in Comune di Cerano,CERANO si perde nei campi,
SANTA MARIA,FONTANA,TRECATE,ASSOCIAZ. PESCATORI SOZZAGO,a fianco Strada Provinciale TRECATE- OLENGO,1500 METRI,TRECATE,FISHING TOUR
SANTA MARIA,FONTANA,VESPOLATE - NIBBIOLA,LIBERA,NIBBIOLA,dopo breve tratto entra in comune di VESPOLATE e dopo aver attraversato la strada provinciale VESPOLATE- TORNACO si immette nel torrente ARBOGNA,VESPOLATE,
SANT'ANTONIO,FONTANA,CASALEGGIO,LIBERA,nasce in località laghetto pesca da due sorgenti che dopo poche decine di metri confluiscono,riceve le acque di scarico del laghetto di pesca. Percorre un breve tratto,confluisce nel cavo PIATTI in località cascina Bontalento,
SAPORITI,CANALE,GALLIATE,SOCIETA' PESCATORI DILETTANTI GALLIATESI,GALLIATE,dalla sua origine dal fiume TICINO alla confluenza nella lama BARCELLONA,lama BARCELLONA,
SCOGNA,RIO,ARMENO,LIBERA,,,,
SCOTTI o GALLARATI,FONTANA,VINZAGLIO,LIBERA,VINZAGLIO a SUD della cascina TORRIGGIA,VINZAGLIO riceve le acque della frazione ORIATE in località CASTELLO e oltrepassa la strada provinciale in direzione torrione di VINZAGLIO,VINZAGLIO confine con la provincia di PAVIA in comune di PALESTRO,
SELVA,FONTANA,BIANDRATE,LIBERA,,,,
SENELLA - SENELLETTA,FONTANA,TORNACO - TRECATE - SOZZAGO - TERDOBBIATE,A.P.D.,testa di fontana,tutto il corso,confine provinciale,
SESIA,FIUME,RECETTO - SAN NAZZARO,LIBERA,RECETTO,dalla fine del diritto demaniale fino al Parco Lame del Sesia per la parte di fiume ricadente in Provincia di Novara,SAN NAZZARO SESIA,
SESIA,FIUME - Diritto demaniale della provincia fino a Landiona,GRIGNASCO - PRATO SESIA - ROMAGNANO SESIA - GHEMME - CARPIGNANO S. - LANDIONA,F.I.P.S.A.S.,GRIGNASCO,dal ponte di S. Quirico in Comune di Grignasco fino all'estremo limite del Comune di Landiona,LANDIONA,FISHING TOUR SALMONIDI: dal ponte di S.Quirico fino alla filarola del Canale della Filatura di Grignasco CIPRINIDI: lama di Romagnano dal ponte stradale alla Casa sul fiume
SFORZESCO,NAVIGLIO - Scaricatori e diramazioni,TRECATE,A.P.D.,Trecate,canale di by-pass della centrale idroelettrica Moneta e tronco di collegamento con il canale ERGA S.p.a. (già ENEL) in corrispondenza del Mulino di S. Cassiano,Sforzesco in Canale ERGA SPA,FISHING TOUR
SFORZESCO,NAVIGLIO,GALLIATE,EST SESIA - GESTIONE APD,GALLIATE,"dalla linea partente dal Mulino del Pericolo passante a m. 58,20 a sud del fabbricato condominiale eretto all'inizio del primo scaricatore del Naviglio al confine territoriale tra il Comune di Galliate e il Comune di Romentino",CONFINE COMUNE DI ROMENTINO,
SFORZESCO,NAVIGLIO - Asta proncipale,ROMENTINO - TRECATE - CERANO,EST SESIA - GESTIONE APD,Lama Barcellona GALLIATE,da confine Comunalie Galliate/Romentino a confine Provinciale,CONFINE PROVINCIA,FISHING TOUR
SFORZESCO,NAVIGLIO - cavi tributrari risorgive e colatori,ROMENTINO,EST SESIA - GESTIONE APD,ROMENTINO,cavi tributrari risorgive e colatori nel bosco denominato Moimone di proprietà Gropallo per tutto il corso,GALLIATE nel Naviglio Sforzesco,FISHING TOUR
SFREGIO,ROGGIA,LANDIONA - RECETTO,LIBERA,al confine con il comune di LANDIONA,sottopassa il canale COVUR e la strada verso la località casa sul fiume vicinanze capo sportivo,si immette nel cavo MONTEBELLO,
SIMONETTA,CAVO,POMBIA,CONS. INTERCOM. ROGGIA MOLINARA,POMBIA,dalla presa del fiume Ticino alla prima chiusa in loc. Montelame,POMBIA,FISHING TOUR
SIZZONE,TORRENTE,CUREGGIO - FONTANETO - GARGALLO - MAGGIORA - CAVAGLIO D'AGOGNA - CAVAGLIETTO,LIBERA,Monte LOVAGONE in provincia di VERCELLI,"GARGALLO, MAGGIORA (autogrost), CUREGGIO, MARZALESCO, GERBIDI, FONTANETO D'AGOGNA, S. ANTONIO, CAVAGLIO D'AGOGNA, CAVAGLIETTO",CAVAGLIETTO (torrente AGOGNA),
SNELLA,FONTANA,TRECATE - SOZZAGO - TORNACO,LIBERA,TRECATE ad OVEST della cascina PARAZZOLONE,SOZZAGO dopo aver oltrepassato la strada provinciale TERDOBBIATE- SOZZAGO in località VALLINI entra nel comune di TORNACO,TORNACO frazione VIGNARELLO in provincia di PAVIA nel comune di CASSOLNOVO,
SORGENTE,ROGGIA,ROMENTINO,LIBERA,ROMENTINO nasce dalla confluenza della frazione GERANA e di uno scolmatore della roggia MOLINARA in località ponte autostrada frazione TORRE MANDELLI,ROMENTINO parallela alla frazione TORRE MANDELLI e dopo circa un chilometro si immette nella roggia MOLINARA,ROMENTINO,
SORGENTE TRE CONTANE,FONTANA,TRECATE,ASSOCIAZ. PESCATORI TRECATESI,TRECATE sotto ferrovia MILANO-TORINO (S. MARTINO),5000 METRI,TRECATE,
STAFFE,PARTITORE,CERANO,LIBERA,Proseguimento della Mora Cerea (concessione FIPSAS) limitrofi alla Strada Provinciale SOZZAGO-CERANO,dopo breve tratto si divide in due rami: 1° ramo destro confluisce nella MORA SAPORITI (concessione privata) 2° ramo sinistro prosegue per breve tratto,confine con la provincia di PAVIA in comune di CASSOLNUOVO,
STAZZA,FONTANA,TORNACO - BORGOLAVEZZARO,LIBERA,TORNACO a EST del comune,dopo breve percorso entra nel comune di BORGOLAVEZZARO località cascina ROVELLINA,BORGOLAVEZZARO cavo plezza località BOTTACCINO,
STORDA,FONTANA,CASALINO,LIBERA,CASALINO limistrofi strada provinciale CASALINO-CAMERIANO vicinanze ex cascina SVERGELLATA,dopo aver oltrepassato la strada provinciale CASALINO- GRANOZZO nelle vicinanze della Cascina VITTORIA entra in provincia di PAVIA comune di CONFIENZA,confine provincia con Pavia in coòune di CONFIENZA,
STORTA,FONTANA,CASALINO,EST SESIA - GESTIONE APD,testa di fontana,tutto il corso,Cavetto Busca,
STORTA,FONTANA,SOZZAGO,ASSOCIAZ. PESCATORI DI SOZZAGO,CASCINA MAGAZZENO,2000 METRI,SOZZAGO,
STROLO,RIO,NEBBIUNO - MEINA,LIBERA,POGGIO RADIOSO,NEBBIUNO località Campiglia,LAGO MAGGIORE in comune di MEINA,
STRONA,TORRENTE,CAVALLIRIO - GHEMME - ROMAGNANO S. - SIZZANO - BOCA - BRIONA - FARA,LIBERA,MONTE LOVACONE in provincia di VERCELLI,BOCA - CAVALLIRIO - ROMAGNANO S. - GHEMME - SIZZANO FARA N. - BRIONA,ROGGIA MORA nella frazione di PROH,
STRONA,CAVO,CASALINO,LIBERA,CASALINO frazione CAMERIANO dal cavo PIATTI,CASALINO sottopassa la strada statale NOVARA-VERCELLI,CASALINO rientra nel cavo PIATTI in località cascina PARPAGLIONE,
STROPPERA,SCARICATORE (annesso roggia Busca),CASALBELTRAME - CASALVOLONE,A.P.D.,dalla Busca,tutto il corso,a perdersi,
TERDOPPIO,TORRENTE,AGRATE C. - SUNO - VAPRIO - OLEGGIO - MOMO - BELLINZAGO - CALTIGNAGA - CAMERI - NOVARA - SOZZAGO - CERANO - TRECATE,LIBERA,AGRATE CONTURBIA,"MONTECCHIO (Bogogno) CASCINONE (Suno) IMPERIO (Suno) VAPRIO D'AG. confine fra Momo e Oleggio CASTELLETTO di Momo, Bellinzago, Caltignaga, Cameri, Novara, Sozzago, Cerano e Trecate",entra nella provincia di PAVIA (Villanova),GESTIONE ZTP DAL PONTE DI CORSO TRIESTE IN NOVARA A VALLE FINO AL PONTE DELLA FERROVIA
TERZAGO,TORRENTE,COLAZZA - INVORIO - MEINA,LIBERA,COLAZZA località Pasquarolo,"località PAGU', località RONCO (comune di COLAZZA)",torrente VEVERA in comune di Invorio,
TESSERA,RIO,AMENO - INVORIO,LIBERA,Monte Tessera in comune di AMENO,INVORIO cascina CEVOLA,Torrente AGOGNA tra i comuni di INVORIO e GOZZANO,
TETTONA,FONTANA,BORGOLAVEZZARO,LIBERA,BORGOLAVEZZARO nasce in località VALGRAMA,BORGOLAVEZZARO ad OVEST del comune,BORGOLAVEZZARO confine con la provincia di PAVIA nel comune di ALBONESE in località DOPPIERI,
TIASCA,TORRENTE,MEINA - PISANO - NEBBIUNO,LIBERA,NEBBIUNO,"PISANO, Ghevio di MEINA, MEINA",LAGO MAGGIORE in comune di MEINA,
TIASCHELLA,RIO,COLAZZA - NEBBIUNO - PISANO,LIBERA,ALPE BOCCIOLI in comune di PISANO,Fosseno di COLAZZA,torrente TERZAGO in comune di COLAZZA,
TICINAZZO,SCARICATORE,GALLIATE,SOCIETA' PESCATORI DILETTANTI GALLIATESI,GALLIATE,dalla sua origine dal Naviglio Langosco (località Villa Fortuna) alla sua confluenza nella Lama Barcellona,LAMA BARCELLONA,
TICINELLO,CAVO,CERANO,F.I.P.S.A.S.,CERANO,ESTENSIONE DIRITTO SUL FIUME TICINO,CERANO,
TICINO,FIUME,CAMERI,(DIRITTO ESCLUSIVO) ENTE DI GESTIONE DELLE AREE PROTETTE E DEL LAGO MAGGIORE Loc. Villa Picchetta 28062 Cameri,NORD : derivazione del Naviglio Langosco dal fiume Ticino in prossimità dello sbarramento del fiume stesso SUD : confine con il diritto di pesca del comune di Galliate OVEST : Fondo scarpata della valle EST : andamento natutale del fiume Ticino,,SUD : confine con il diritto di pesca del comune di Galliate,
TICINO,FIUME,CASTELLETTO SOPRA TICINO,"(DIRITTO ESCLUSIVO) FIPSAS - Viale Tiziano, 70 – 00196 ROMA",Parte ricadente in Comune di Castelletto (maggioranza in Lombardia) NORD termine dello scolatore sopra Cicognola in sponda piemontese EST Sponda Varesina SUD Bricola di Abbasso limitata tra la sponda piemontese ed il pilone del fiume Ticino,,SUD Bricola di Abbasso limitata tra la sponda piemontese ed il pilone del fiume Ticino,
TICINO,FIUME,CASTELLETTO SOPRA TICINO,"(DIRITTO ESCLUSIVO) DE RIU DIEGO - Nato a Milano il 24.07.1955 residente 28053 CASTELLETTO TICINO Via Vernone, 27",In Comune di Castelletto Ticino dal confine con il diritto esclusivo di pesca Paracchini/Barbieri a nord sino al confine a sud con l’ex diritto di pesca Barbieri Attilio,,confine a sud con l’ex diritto di pesca Barbieri Attilio,
TICINO,FIUME,CASTELLETTO SOPRA TICINO,"(DIRITTO ESCLUSIVO) PARACCHINI Sandra, Viviana, Luigi, Elena, Giulio, Stefania, Laura, Sergio, Giuseppina, Pier Giacomo e Franco.Referente PARACCHINI Sergio (Via L:Orta, 8 - 28041 ARONA)PIROVANO Fabio e PierFrancesco (Via Vernome 12 - 28053 CASTELLETTO T. TALARICO Fabio (Via Valle sud 18 – 28053 Castelletto Ticino)","Comune Castelletto in Località Molino Nuovo di Dorbiè, coi seguenti confini: EST parte dell'alveo del fiume Ticino ricadente nel territorio della Provincia di Varese SUD linea normale all'asse del fiume passante per un sasso contrassegnato esistente sulla sponda destra del fiume, loc. Vernone Superiore, detto sasso picchiato OVEST sponda destra del fiume in territorio di Castelletto T. in loc. Molino Nuovo di Dorbiè esclusa la zona soggetta a Diritto esclusivo DE RIU NORD linea normale all'asse del fiume e passante per la cappelletta esistente in sponda sinistra del fiume lungo la strada Sesto Calende Golasecca",,"SUD linea normale all'asse del fiume passante per un sasso contrassegnato esistente sulla sponda destra del fiume, loc. Vernone Superiore, detto sasso picchiato",
TICINO,FIUME,CERANO,"(DIRITTO ESCLUSIVO) Parco Lombardo del TicinoFraz. Pontevecchio - Via Isonzo, 120013 MAGENTA","Fiume Ticino, ramo principale e sue diramazioni, rami vivi e morti, nonchè valli, lanche, paludi, letti abbandonati, morte, mortizze e bosie lungo la tratta in Cerano compresa tra il confine territoriale di Trecate a nord, il confine del diritto pesca Fipsas a sud, la roggia sforzesca a ovest, il condine con la Provincia di Milano a est",,"confine del diritto pesca Fipsas a sud, la roggia sforzesca a ovest, il condine con la Provincia di Milano a est",
TICINO,FIUME,CERANO,"(DIRITTO ESCLUSIVO) FIPSAS - Viale Tiziano, 70 - 00196 ROMA","Fiume Ticino, ramo principale e sue diramazioni, rami vivi e morti, nonchè valli, lanche, paludi, letti abbandonati, morte, mortizze e bosie lungo la tratta Comune di Cerano compresa tra il diritto del Parco lombardo del Ticino nord, il confine con la Regione Lombardia a sud, la roggia sforzesca a ovest, il condine con la Provincia di Milano a est",,"il confine con la Regione Lombardia a sud, la roggia sforzesca a ovest, il condine con la Provincia di Milano a est",
